ID,JHI_DATE,CONVERSIONVALUE,SUELDOMIN
,2011-02-24,8.79,1223.89
,2011-02-27,8.82,1223.89
,2011-02-28,8.85,1223.89
,2011-03-01,8.89,1223.89
,2011-03-02,8.88,1223.89
,2011-03-03,8.79,1223.89
,2011-03-06,8.77,1223.89
,2011-03-07,8.78,1223.89
,2011-03-08,8.73,1223.89
,2011-03-09,8.69,1223.89
,2011-03-10,8.67,1223.89
,2011-03-12,8.65,1223.89
,2011-03-13,8.66,1223.89
,2011-03-14,8.7,1223.89
,2011-03-15,8.7,1223.89
,2011-03-16,8.75,1223.89
,2011-03-17,8.9,1223.89
,2011-03-18,8.67,1223.89
,2011-03-19,8.7,1223.89
,2011-03-20,8.68,1223.89
,2011-03-21,8.6,1223.89
,2011-03-22,8.6,1223.89
,2011-03-23,8.58,1223.89
,2011-03-24,8.4,1223.89
,2011-03-25,8.4,1223.89
,2011-03-26,8.4,1223.89
,2011-03-28,8.43,1223.89
,2011-03-29,8.46,1223.89
,2011-03-30,8.41,1223.89
,2011-03-31,8.39,1223.89
,2011-04-01,8.31,1223.89
,2011-04-02,8.31,1223.89
,2011-04-03,8.4,1223.89
,2011-04-04,8.28,1223.89
,2011-04-05,8.26,1223.89
,2011-04-06,8.26,1223.89
,2011-04-07,8.21,1223.89
,2011-04-08,8.24,1223.89
,2011-04-10,8.2,1223.89
,2011-04-11,8.2,1223.89
,2011-04-12,8.23,1223.89
,2011-04-13,8.27,1223.89
,2011-04-14,8.2,1223.89
,2011-04-15,8.2,1223.89
,2011-04-16,8.2,1223.89
,2011-04-17,8.13,1223.89
,2011-04-18,8.17,1223.89
,2011-04-19,8.13,1223.89
,2011-04-20,8.11,1223.89
,2011-04-21,8.1,1223.89
,2011-04-22,8.07,1223.89
,2011-04-24,8.02,1223.89
,2011-04-25,8.06,1223.89
,2011-04-26,8.07,1223.89
,2011-04-27,8.02,1223.89
,2011-04-28,7.99,1223.89
,2011-04-29,8.03,1223.89
,2011-05-01,8.02,1407.47
,2011-05-02,8.41,1407.47
,2011-05-03,8.37,1407.47
,2011-05-04,8.37,1407.47
,2011-05-05,8.37,1407.47
,2011-05-06,8.46,1407.47
,2011-05-07,8.46,1407.47
,2011-05-08,8.51,1407.47
,2011-05-09,8.55,1407.47
,2011-05-10,8.51,1407.47
,2011-05-11,8.81,1407.47
,2011-05-12,8.48,1407.47
,2011-05-13,8.5,1407.47
,2011-05-14,8.49,1407.47
,2011-05-15,8.49,1407.47
,2011-05-16,8.53,1407.47
,2011-05-17,8.54,1407.47
,2011-05-18,8.59,1407.47
,2011-05-19,8.54,1407.47
,2011-05-20,8.52,1407.47
,2011-05-21,8.52,1407.47
,2011-05-23,8.86,1407.47
,2011-05-24,8.56,1407.47
,2011-05-25,8.56,1407.47
,2011-05-26,8.54,1407.47
,2011-05-27,8.53,1407.47
,2011-05-28,8.53,1407.47
,2011-05-29,8.51,1407.47
,2011-05-30,8.45,1407.47
,2011-06-01,8.43,1407.47
,2011-06-02,8.33,1407.47
,2011-06-03,8.34,1407.47
,2011-06-04,8.34,1407.47
,2011-06-05,8.33,1407.47
,2011-06-06,8.33,1407.47
,2011-06-07,8.25,1407.47
,2011-06-08,8.34,1407.47
,2011-06-09,8.28,1407.47
,2011-06-10,8.3,1407.47
,2011-06-11,8.3,1407.47
,2011-06-12,8.3,1407.47
,2011-06-13,8.31,1407.47
,2011-06-14,8.31,1407.47
,2011-06-15,8.27,1407.47
,2011-06-16,8.38,1407.47
,2011-06-17,8.35,1407.47
,2011-06-18,8.35,1407.47
,2011-06-19,8.37,1407.47
,2011-06-20,8.35,1407.47
,2011-06-21,8.16,1407.47
,2011-06-22,8.32,1407.47
,2011-06-23,8.32,1407.47
,2011-06-24,8.36,1407.47
,2011-06-25,8.36,1407.47
,2011-06-26,8.36,1407.47
,2011-06-27,8.33,1407.47
,2011-06-28,8.34,1407.47
,2011-06-29,8.31,1407.47
,2011-06-30,8.24,1407.47
,2011-07-01,8.2,1407.47
,2011-07-02,8.2,1407.47
,2011-07-03,8.2,1407.47
,2011-07-04,8.19,1407.47
,2011-07-05,8.19,1407.47
,2011-07-06,8.21,1407.47
,2011-07-07,8.18,1407.47
,2011-07-08,8.18,1407.47
,2011-07-09,8.18,1407.47
,2011-07-10,8.19,1407.47
,2011-07-11,8.25,1407.47
,2011-07-12,8.24,1407.47
,2011-07-13,8.24,1407.47
,2011-07-14,8.27,1407.47
,2011-07-15,8.27,1407.47
,2011-07-16,8.27,1407.47
,2011-07-17,8.25,1407.47
,2011-07-18,8.29,1407.47
,2011-07-19,8.28,1407.47
,2011-07-20,8.3,1407.47
,2011-07-21,8.34,1407.47
,2011-07-22,8.34,1407.47
,2011-07-23,8.34,1407.47
,2011-07-24,8.36,1407.47
,2011-07-25,8.41,1407.47
,2011-07-26,8.38,1407.47
,2011-07-27,8.37,1407.47
,2011-07-28,8.34,1407.47
,2011-07-29,8.37,1407.47
,2011-07-30,8.34,1407.47
,2011-07-31,8.27,1407.47
,2011-08-01,8.38,1407.47
,2011-08-02,8.31,1407.47
,2011-08-03,8.37,1407.47
,2011-08-04,8.5,1407.47
,2011-08-05,8.5,1407.47
,2011-08-06,8.5,1407.47
,2011-08-07,8.43,1407.47
,2011-08-08,8.53,1407.47
,2011-08-09,8.63,1407.47
,2011-08-10,8.71,1407.47
,2011-08-11,8.68,1407.47
,2011-08-12,8.66,1407.47
,2011-08-13,8.66,1407.47
,2011-08-14,8.68,1407.47
,2011-08-15,8.68,1407.47
,2011-08-16,8.82,1407.47
,2011-08-17,8.79,1407.47
,2011-08-18,8.81,1407.47
,2011-08-19,8.81,1407.47
,2011-08-20,8.81,1407.47
,2011-08-21,8.7,1407.47
,2011-08-22,8.76,1407.47
,2011-08-23,8.59,1407.47
,2011-08-24,8.66,1407.47
,2011-08-25,8.63,1407.47
,2011-08-26,8.67,1407.47
,2011-08-27,8.67,1407.47
,2011-08-28,8.61,1407.47
,2011-08-29,8.63,1407.47
,2011-08-31,8.63,1407.47
,2011-09-01,8.59,1548.22
,2011-09-02,8.6,1548.22
,2011-09-03,8.6,1548.22
,2011-09-04,8.59,1548.22
,2011-09-05,8.57,1548.22
,2011-09-06,8.65,1548.22
,2011-09-07,8.61,1548.22
,2011-09-08,8.6,1548.22
,2011-09-09,8.64,1548.22
,2011-09-10,8.64,1548.22
,2011-09-11,8.63,1548.22
,2011-09-12,8.68,1548.22
,2011-09-13,8.76,1548.22
,2011-09-14,8.82,1548.22
,2011-09-15,8.82,1548.22
,2011-09-16,8.76,1548.22
,2011-09-17,8.76,1548.22
,2011-09-18,8.75,1548.22
,2011-09-19,8.75,1548.22
,2011-09-20,8.89,1548.22
,2011-09-21,9.08,1548.22
,2011-09-23,8.96,1548.22
,2011-09-24,8.96,1548.22
,2011-09-25,8.96,1548.22
,2011-09-26,8.94,1548.22
,2011-09-27,8.86,1548.22
,2011-09-28,8.93,1548.22
,2011-09-29,8.96,1548.22
,2011-09-30,8.92,1548.22
,2011-10-01,8.92,1548.22
,2011-10-02,8.92,1548.22
,2011-10-03,9.03,1548.22
,2011-10-04,8.94,1548.22
,2011-10-05,9.09,1548.22
,2011-10-06,9.06,1548.22
,2011-10-07,8.95,1548.22
,2011-10-08,8.95,1548.22
,2011-10-09,9.01,1548.22
,2011-10-10,9.03,1548.22
,2011-10-11,9.01,1548.22
,2011-10-12,9.03,1548.22
,2011-10-13,8.66,1548.22
,2011-10-14,8.65,1548.22
,2011-10-15,8.65,1548.22
,2011-10-16,8.61,1548.22
,2011-10-17,8.76,1548.22
,2011-10-18,8.72,1548.22
,2011-10-19,8.75,1548.22
,2011-10-20,8.71,1548.22
,2011-10-21,8.71,1548.22
,2011-10-22,8.71,1548.22
,2011-10-23,8.73,1548.22
,2011-10-24,8.64,1548.22
,2011-10-25,8.62,1548.22
,2011-10-26,8.58,1548.22
,2011-10-27,8.58,1548.22
,2011-10-28,8.58,1548.22
,2011-10-29,8.58,1548.22
,2011-10-30,8.61,1548.22
,2011-10-31,8.61,1548.22
,2011-11-01,8.71,1548.22
,2011-11-02,8.71,1548.22
,2011-11-03,8.76,1548.22
,2011-11-05,8.76,1548.22
,2011-11-06,8.86,1548.22
,2011-11-07,8.85,1548.22
,2011-11-08,8.88,1548.22
,2011-11-09,8.88,1548.22
,2011-11-10,8.91,1548.22
,2011-11-11,8.88,1548.22
,2011-11-12,8.9,1548.22
,2011-11-13,8.9,1548.22
,2011-11-14,8.91,1548.22
,2011-11-15,8.87,1548.22
,2011-11-16,8.95,1548.22
,2011-11-17,9,1548.22
,2011-11-18,9,1548.22
,2011-11-19,9,1548.22
,2011-11-20,9.04,1548.22
,2011-11-21,9.06,1548.22
,2011-11-22,9.09,1548.22
,2011-11-23,9.15,1548.22
,2011-11-25,9.28,1548.22
,2011-11-26,9.28,1548.22
,2011-11-27,9.24,1548.22
,2011-11-28,9.27,1548.22
,2011-11-29,9.28,1548.22
